text,label,cleaned_text,label_encoded
"I haven't felt happy in months, maybe longer",1,i havent felt happy in months maybe longer,1
I cry almost every day and I don't know why,1,i cry almost every day and i dont know why,1
"Just completed a 5K run, feeling accomplished",0,just completed a k run feeling accomplished,0
Just had the most refreshing swim at the beach,0,just had the most refreshing swim at the beach,0
Had a wonderful time at the art gallery today,0,had a wonderful time at the art gallery today,0
Today i feel trapped in my own mind with no escape,1,today i feel trapped in my own mind with no escape,1
"Honestly, just adopted a puppy and he's bringing so much joy",0,honestly just adopted a puppy and hes bringing so much joy,0
Just adopted a puppy and he's bringing so much joy,0,just adopted a puppy and hes bringing so much joy,0
I'm constantly tired but can't seem to rest,1,im constantly tired but cant seem to rest,1
"Lately every day feels the same, gray and without purpose",1,lately every day feels the same gray and without purpose,1
I feel like a failure in every aspect of my life,1,i feel like a failure in every aspect of my life,1
Really i love cooking new recipes and sharing them with friends,0,really i love cooking new recipes and sharing them with friends,0
I'm enjoying learning to cook international cuisines,0,im enjoying learning to cook international cuisines,0
"Today i haven't felt happy in months, maybe longer",1,today i havent felt happy in months maybe longer,1
The autumn colors are making my walks so beautiful,0,the autumn colors are making my walks so beautiful,0
Really i feel confident about my upcoming presentation,0,really i feel confident about my upcoming presentation,0
"Honestly, spent quality time with friends over a delicious dinner",0,honestly spent quality time with friends over a delicious dinner,0
"I feel guilty about everything, even things I can't control",1,i feel guilty about everything even things i cant control,1
Today my self-esteem has hit rock bottom lately,1,today my selfesteem has hit rock bottom lately,1
"Lately everything feels hopeless, i don't see the point in trying",1,lately everything feels hopeless i dont see the point in trying,1
Lately i've lost interest in activities i used to enjoy,1,lately ive lost interest in activities i used to enjoy,1
"I feel numb, like I can't feel anything at all",1,i feel numb like i cant feel anything at all,1
"Honestly, i'm proud of how far i've come this year",0,honestly im proud of how far ive come this year,0
I can't remember the last time I genuinely laughed,1,i cant remember the last time i genuinely laughed,1
Today i've been having recurring nightmares about failing,1,today ive been having recurring nightmares about failing,1
"Today i feel guilty about everything, even things i can't control",1,today i feel guilty about everything even things i cant control,1
I feel like I'm drowning in sadness with no way out,1,i feel like im drowning in sadness with no way out,1
"Honestly, i'm thankful for the support of my loving family",0,honestly im thankful for the support of my loving family,0
"Honestly, enjoyed learning a new dance routine today",0,honestly enjoyed learning a new dance routine today,0
Lately my self-esteem has hit rock bottom lately,1,lately my selfesteem has hit rock bottom lately,1
Had an inspiring conversation with my mentor today,0,had an inspiring conversation with my mentor today,0
Really had a lovely picnic with the family at the park,0,really had a lovely picnic with the family at the park,0
I spend most of my time in bed staring at the ceiling,1,i spend most of my time in bed staring at the ceiling,1
Really i'm excited about starting my new project at work,0,really im excited about starting my new project at work,0
I can't stop thinking about all my failures,1,i cant stop thinking about all my failures,1
Enjoyed a peaceful walk by the river this evening,0,enjoyed a peaceful walk by the river this evening,0
Really i'm looking forward to the concert this friday,0,really im looking forward to the concert this friday,0
I feel like I'm slowly fading away from existence,1,i feel like im slowly fading away from existence,1
Just booked a vacation and can't wait to explore,0,just booked a vacation and cant wait to explore,0
Lately everything irritates me and i snap at people i love,1,lately everything irritates me and i snap at people i love,1
"Honestly, i'm making progress on my fitness goals every week",0,honestly im making progress on my fitness goals every week,0
I love the feeling of accomplishment after a good day,0,i love the feeling of accomplishment after a good day,0
"Honestly, feeling accomplished after finishing a challenging puzzle",0,honestly feeling accomplished after finishing a challenging puzzle,0
My self-esteem has hit rock bottom lately,1,my selfesteem has hit rock bottom lately,1
Today i can't stop thinking about all my failures,1,today i cant stop thinking about all my failures,1
I'm looking forward to the concert this Friday,0,im looking forward to the concert this friday,0
Lately i feel like the world would be better without me,1,lately i feel like the world would be better without me,1
